Datetime,Weather,Wind_speed,humidity,temperature,Presence
27/12/2018 00:00,6,3.475,25.5,18,3
27/12/2018 01:00,6,3.1,27.25,16,0
27/12/2018 02:00,6,2.975,25,15.5,0
27/12/2018 03:00,6,3.975,21,16,0
27/12/2018 04:00,6,3.975,20,16.75,0
27/12/2018 05:00,6,4.475,48.25,18,0
27/12/2018 06:00,6,4.85,53.25,18.75,0
27/12/2018 07:00,6,4.225,41.25,18.25,0
27/12/2018 08:00,6,3.725,37.5,18,1
27/12/2018 09:00,6,3.875,85,20,5
27/12/2018 10:00,6,6.075,55.75,21,4
27/12/2018 11:00,6,6.95,63,21,3
27/12/2018 12:00,6,7.95,63,22,13
27/12/2018 13:00,5.75,8.85,66,21.25,18
27/12/2018 14:00,5,9.3,65,21.75,59
27/12/2018 15:00,5,9.55,62,21.75,133
27/12/2018 16:00,5,9.675,64,21,48
27/12/2018 17:00,5,9.55,65,20.75,12
27/12/2018 18:00,5,8.35,68,19.75,24
27/12/2018 19:00,5,7.2,68,19,41
27/12/2018 20:00,5,5.4,71,18.25,4
27/12/2018 21:00,5,5.95,72,18,17
27/12/2018 22:00,5,5.95,73.25,17.75,13
27/12/2018 23:00,5,6.7,75.75,17,18